Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Product_ID,Product_Name,Category,Subcategory,Quantity,Unit_Price,Discount,Revenue,Payment_Method,Customer_Type,Marketing_Channel
O000021,2024-03-09,C00561,Customer 00561,Female,33,Durgapur,West Bengal,East,P012,Non-stick Cookware Set,Home & Kitchen,Cookware,1,2999,0.0,2999.0,Net Banking,New,affiliate
O000022,2025-09-10,C04006,Customer 04006,Male,33,Bhilai,Chhattisgarh,Central,P008,Denim Jeans,Fashion,Apparel,1,1899,0.05,1804.05,Credit Card,Returning,Google
O000023,2025-10-25,C03042,Customer 03042,Male,18,Tirupati,Andhra Pradesh,South,P021,Cricket Bat,Sports & Fitness,Sports,2,3999,0.0,7998.0,Debit Card,Returning,Organic
O000024,2025-10-19,C03205,Customer 03205,Female,26,Mangaluru,Karnataka,South,P018,Trimmer,Beauty & Personal Care,Grooming,1,1599,0.15,1359.15,Credit Card,Returning,Organic
O000024,2025-10-19,C03205,Customer 03205,Female,26,Mangaluru,Karnataka,South,P004,Power Bank 20000mAh,Electronics,Accessories,1,1999,0.1,1799.1,Credit Card,Returning,Organic
O000024,2025-10-19,C03205,Customer 03205,Female,26,Mangaluru,Karnataka,South,P010,Backpack 25L,Fashion,Bags,1,1599,0.1,1439.1,Credit Card,Returning,Organic
O000025,2025-10-10,C00918,Customer 00918,Female,35,Jalandhar,Punjab,North,P023,Novel Collection,Books,Books,1,799,0.05,759.05,Debit Card,Returning,Google
O000026,2025-06-08,C04271,Customer 04271,Male,34,Visakhapatnam,Andhra Pradesh,South,P004,Power Bank 20000mAh,Electronics,Accessories,1,1999,0.2,1599.2,UPI,Returning,Organic
O000027,2025-06-09,C01852,Customer 01852,Female,33,New Delhi,Delhi,North,P022,Exam Preparation Set,Books,Education,2,1299,0.15,2208.3,UPI,Returning,Facebook
O000028,2025-11-16,C03788,Customer 03788,Male,46,Bhubaneswar,Odisha,East,P011,Kurta Set,Fashion,Ethnic Wear,1,1799,0.1,1619.1,Debit Card,Returning,Facebook
O000029,2025-06-02,C03184,Customer 03184,Male,38,Bhubaneswar,Odisha,East,P004,Power Bank 20000mAh,Electronics,Accessories,1,1999,0.15,1699.15,Cash on Delivery,Returning,Email
O000029,2025-06-02,C03184,Customer 03184,Male,38,Bhubaneswar,Odisha,East,P001,Smartphone X1,Electronics,Mobile Phones,1,23500,0.1,21150.0,Cash on Delivery,Returning,Email
O000030,2024-08-15,C02765,Customer 02765,Female,26,Noida,Uttar Pradesh,North,P011,Kurta Set,Fashion,Ethnic Wear,1,1799,0.0,1799.0,Debit Card,Returning,Organic
O000031,2025-10-11,C04151,Customer 04151,Male,18,Kozhikode,Kerala,South,P015,LED Study Lamp,Home & Kitchen,Lighting,1,999,0.0,999.0,UPI,Returning,Instagram
O000031,2025-10-11,C04151,Customer 04151,Male,18,Kozhikode,Kerala,South,P001,Smartphone X1,Electronics,Mobile Phones,1,23500,0.1,21150.0,UPI,Returning,Instagram
O000032,2024-12-05,C03761,Customer 03761,Male,35,Varanasi,Uttar Pradesh,North,P013,Mixer Grinder,Home & Kitchen,Appliances,1,4499,0.1,4049.1,UPI,Returning,Email
O000032,2024-12-05,C03761,Customer 03761,Male,35,Varanasi,Uttar Pradesh,North,P002,Wireless Earbuds Pro,Electronics,Audio,3,3499,0.1,9447.3,UPI,Returning,Email
O000033,2024-06-20,C04893,Customer 04893,Female,29,Varanasi,Uttar Pradesh,North,P006,Gaming Mouse,Electronics,Computer Accessories,1,1799,0.1,1619.1,Cash on Delivery,Returning,Organic
O000034,2025-05-01,C00598,Customer 00598,Female,31,Ahmedabad,Gujarat,West,P010,Backpack 25L,Fashion,Bags,1,1599,0.15,1359.15,UPI,Returning,Facebook
O000034,2025-05-01,C00598,Customer 00598,Female,31,Ahmedabad,Gujarat,West,P018,Trimmer,Beauty & Personal Care,Grooming,1,1599,0.0,1599.0,UPI,Returning,Facebook
O000034,2025-05-01,C00598,Customer 00598,Female,31,Ahmedabad,Gujarat,West,P001,Smartphone X1,Electronics,Mobile Phones,1,23500,0.1,21150.0,UPI,Returning,Facebook
O000035,2025-12-15,C01797,Customer 01797,Male,38,Delhi,Delhi,North,P021,Cricket Bat,Sports & Fitness,Sports,1,3999,0.05,3799.05,Credit Card,Returning,Email
O000036,2025-02-08,C01579,Customer 01579,Male,32,Kochi,Kerala,South,P007,Cotton T-Shirt,Fashion,Apparel,1,899,0.0,899.0,Wallet,Returning,Google
O000037,2025-12-23,C03271,Customer 03271,Female,27,Delhi,Delhi,North,P020,Dumbbell Set,Sports & Fitness,Fitness,2,2499,0.15,4248.3,Credit Card,Returning,Instagram
O000038,2024-05-13,C03075,Customer 03075,Female,29,Durgapur,West Bengal,East,P016,Face Wash,Beauty & Personal Care,Skincare,2,399,0.1,718.2,Net Banking,New,Instagram
O000038,2024-05-13,C03075,Customer 03075,Female,29,Durgapur,West Bengal,East,P012,Non-stick Cookware Set,Home & Kitchen,Cookware,1,2999,0.2,2399.2,Net Banking,New,Instagram
O000039,2025-10-19,C04213,Customer 04213,Male,33,Bengaluru,Karnataka,South,P002,Wireless Earbuds Pro,Electronics,Audio,2,3499,0.0,6998.0,UPI,Returning,Email
O000039,2025-10-19,C04213,Customer 04213,Male,33,Bengaluru,Karnataka,South,P018,Trimmer,Beauty & Personal Care,Grooming,2,1599,0.2,2558.4,UPI,Returning,Email
O000040,2024-06-16,C04530,Customer 04530,Female,35,Warangal,Telangana,South,P010,Backpack 25L,Fashion,Bags,1,1599,0.05,1519.05,UPI,Returning,Instagram
O000040,2024-06-16,C04530,Customer 04530,Female,35,Warangal,Telangana,South,P018,Trimmer,Beauty & Personal Care,Grooming,1,1599,0.1,1439.1,UPI,Returning,Instagram
O000040,2024-06-16,C04530,Customer 04530,Female,35,Warangal,Telangana,South,P014,Air Fryer,Home & Kitchen,Appliances,1,5999,0.05,5699.05,UPI,Returning,Instagram
O000041,2024-05-12,C03329,Customer 03329,Male,27,Vijayawada,Andhra Pradesh,South,P020,Dumbbell Set,Sports & Fitness,Fitness,1,2499,0.0,2499.0,Credit Card,Returning,Affiliate
O000041,2024-05-12,C03329,Customer 03329,Male,27,Vijayawada,Andhra Pradesh,South,P002,Wireless Earbuds Pro,Electronics,Audio,2,3499,0.15,5948.3,Credit Card,Returning,Affiliate
O000041,2024-05-12,C03329,Customer 03329,Male,27,Vijayawada,Andhra Pradesh,South,P001,Smartphone X1,Electronics,Mobile Phones,1,23500,0.1,21150.0,Credit Card,Returning,Affiliate
O000042,2025-10-15,C03236,Customer 03236,Female,23,Indore,Madhya Pradesh,Central,P023,Novel Collection,Books,Books,2,799,0.0,1598.0,Cash on Delivery,Returning,Email
O000043,2024-06-04,C04294,Customer 04294,Male,47,Siliguri,West Bengal,East,P001,Smartphone X1,Electronics,Mobile Phones,1,23500,0.15,19975.0,Debit Card,New,Organic
O000043,2024-06-04,C04294,Customer 04294,Male,47,Siliguri,West Bengal,East,P014,Air Fryer,Home & Kitchen,Appliances,1,5999,0.15,5099.15,Debit Card,New,Organic
O000043,2024-06-04,C04294,Customer 04294,Male,47,Siliguri,West Bengal,East,P020,Dumbbell Set,Sports & Fitness,Fitness,2,2499,0.1,4498.2,Debit Card,New,Organic
O000044,2025-12-08,C04089,Customer 04089,Female,38,Kolkata,West Bengal,East,P022,Exam Preparation Set,Books,Education,1,1299,0.15,1104.15,Credit Card,Returning,Instagram
O000045,2024-07-05,C00964,Customer 00964,Female,24,Cuttack,Odisha,East,P016,Face Wash,Beauty & Personal Care,Skincare,2,399,0.0,798.0,Cash on Delivery,New,Google
O000046,2025-10-18,C03229,Customer 03229,Male,31,Visakhapatnam,Andhra Pradesh,South,P015,LED Study Lamp,Home & Kitchen,Lighting,2,999,0.05,1898.1,UPI,Returning,Organic
O000046,2025-10-18,C03229,Customer 03229,Male,31,Visakhapatnam,Andhra Pradesh,South,P013,Mixer Grinder,Home & Kitchen,Appliances,1,4499,0.15,3824.15,UPI,Returning,Organic
O000047,2024-05-12,C03273,Customer 03273,Male,24,Faridabad,Haryana,North,P012,Non-stick Cookware Set,Home & Kitchen,Cookware,1,2999,0.0,2999.0,Net Banking,Returning,Organic
O000048,2025-09-27,C04764,Customer 04764,Female,34,Faridabad,Haryana,North,P003,Bluetooth Speaker,Electronics,Audio,1,4499,0.1,4049.1,UPI,Returning,Affiliate
O000049,2024-10-24,C04250,Customer 04250,Male,37,Muzaffarpur,Bihar,East,P007,Cotton T-Shirt,Fashion,Apparel,1,899,0.15,764.15,Net Banking,Returning,Organic
O000050,2024-12-21,C02231,Customer 02231,Male,27,Cuttack,Odisha,East,P011,Kurta Set,Fashion,Ethnic Wear,1,1799,0.15,1529.15,UPI,Returning,Instagram
O000051,2024-06-16,C04666,Customer 04666,Male,21,Visakhapatnam,Andhra Pradesh,South,P018,Trimmer,Beauty & Personal Care,Grooming,1,1599,0.15,1359.15,UPI,New,Organic
O000052,2025-03-09,C03062,Customer 03062,Male,31,Vijayawada,Andhra Pradesh,South,P021,Cricket Bat,Sports & Fitness,Sports,1,3999,0.15,3399.15,Net Banking,Returning,Referral
O000052,2025-03-09,C03062,Customer 03062,Male,31,Vijayawada,Andhra Pradesh,South,P016,Face Wash,Beauty & Personal Care,Skincare,1,399,0.0,399.0,Net Banking,Returning,Referral
O000052,2025-03-09,C03062,Customer 03062,Male,31,Vijayawada,Andhra Pradesh,South,P009,Running Shoes,Fashion,Footwear,1,2999,0.0,2999.0,Net Banking,Returning,Referral
O000053,2025-11-26,C00135,Customer 00135,Female,18,Kozhikode,Kerala,South,P006,Gaming Mouse,Electronics,Computer Accessories,3,1799,0.1,4857.3,UPI,Returning,Affiliate
O000054,2024-09-22,C04772,Customer 04772,Male,42,Chennai,Tamil Nadu,South,P003,Bluetooth Speaker,Electronics,Audio,1,4499,0.0,4499.0,Debit Card,Returning,Organic
O000054,2024-09-22,C04772,Customer 04772,Male,42,Chennai,Tamil Nadu,South,P016,Face Wash,Beauty & Personal Care,Skincare,2,399,0.05,758.1,Debit Card,Returning,Organic
O000055,2025-08-28,C03328,Customer 03328,Male,34,Mangaluru,Karnataka,South,P001,Smartphone X1,Electronics,Mobile Phones,1,23500,0.15,19975.0,Net Banking,Returning,Email
O000055,2025-08-28,C03328,Customer 03328,Male,34,Mangaluru,Karnataka,South,P002,Wireless Earbuds Pro,Electronics,Audio,2,3499,0.15,5948.3,Net Banking,Returning,Email
O000055,2025-08-28,C03328,Customer 03328,Male,34,Mangaluru,Karnataka,South,P021,Cricket Bat,Sports & Fitness,Sports,1,3999,0.05,3799.05,Net Banking,Returning,Email
O000056,2025-03-20,C04920,Customer 04920,Male,34,Jodhpur,Rajasthan,West,P002,Wireless Earbuds Pro,Electronics,Audio,2,3499,0.15,5948.3,Cash on Delivery,New,Facebook
O000056,2025-03-20,C04920,Customer 04920,Male,34,Jodhpur,Rajasthan,West,P022,Exam Preparation Set,Books,Education,2,1299,0.05,2468.1,Cash on Delivery,New,Facebook
O000057,2025-03-05,C02078,Customer 02078,Female,25,Mysuru,Karnataka,South,P005,Laptop Air 14,Electronics,Laptops,3,49900,0.05,142215.0,Credit Card,Returning,Organic
O000057,2025-03-05,C02078,Customer 02078,Female,25,Mysuru,Karnataka,South,P003,Bluetooth Speaker,Electronics,Audio,1,4499,0.05,4274.05,Credit Card,Returning,Organic
O000058,2025-11-12,C00047,Customer 00047,Male,31,Ludhiana,Punjab,North,P023,Novel Collection,Books,Books,1,799,0.05,759.05,Cash on Delivery,Returning,Facebook
O000059,2025-11-12,C00192,Customer 00192,Male,25,Jaipur,Rajasthan,West,P011,Kurta Set,Fashion,Ethnic Wear,1,1799,0.2,1439.2,UPI,Returning,Google
O000059,2025-11-12,C00192,Customer 00192,Male,25,Jaipur,Rajasthan,West,P003,Bluetooth Speaker,Electronics,Audio,1,4499,0.15,3824.15,UPI,Returning,Google
O000060,2025-02-01,C02915,Customer 02915,Male,33,Kochi,Kerala,South,P021,Cricket Bat,Sports & Fitness,Sports,3,3999,0.05,11397.15,Credit Card,New,Email
O000060,2025-02-01,C02915,Customer 02915,Male,33,Kochi,Kerala,South,P010,Backpack 25L,Fashion,Bags,1,1599,0.1,1439.1,Credit Card,New,Email
O000060,2025-02-01,C02915,Customer 02915,Male,33,Kochi,Kerala,South,P008,Denim Jeans,Fashion,Apparel,1,1899,0.1,1709.1,Credit Card,New,Email
O000061,2024-07-23,C04902,Customer 04902,Female,42,Bhubaneswar,Odisha,East,P009,Running Shoes,Fashion,Footwear,1,2999,0.15,2549.15,Debit Card,Returning,Organic
O000062,2025-04-18,C00716,Customer 00716,Female,25,Bhopal,Madhya Pradesh,Central,P003,Bluetooth Speaker,Electronics,Audio,1,4499,0.0,4499.0,Debit Card,Returning,Google
O000062,2025-04-18,C00716,Customer 00716,Female,25,Bhopal,Madhya Pradesh,Central,P008,Denim Jeans,Fashion,Apparel,1,1899,0.15,1614.15,Debit Card,Returning,Google
O000063,2025-05-31,C02831,Customer 02831,Female,29,Noida,Uttar Pradesh,North,P014,Air Fryer,Home & Kitchen,Appliances,1,5999,0.15,5099.15,Credit Card,Returning,Affiliate
O000064,2024-12-29,C02323,Customer 02323,Male,18,Panipat,Haryana,North,P017,Sunscreen SPF50,Beauty & Personal Care,Skincare,1,699,0.1,629.1,UPI,Returning,Affiliate
O000065,2024-03-21,C04579,Customer 04579,Male,38,Jalandhar,Punjab,North,P001,Smartphone X1,Electronics,Mobile Phones,2,23500,0.15,39950.0,Credit Card,Returning,Affiliate
O000066,2024-02-24,C03841,Customer 03841,Male,24,Nagpur,Maharashtra,West,P014,Air Fryer,Home & Kitchen,Appliances,1,5999,0.1,5399.1,Credit Card,New,Affiliate
O000066,2024-02-24,C03841,Customer 03841,Male,24,Nagpur,Maharashtra,West,P016,Face Wash,Beauty & Personal Care,Skincare,1,399,0.05,379.05,Credit Card,New,Affiliate
O000067,2024-01-05,C00971,Customer 00971,Male,37,Berhampur,Odisha,East,P016,Face Wash,Beauty & Personal Care,Skincare,1,399,0.05,379.05,UPI,New,Organic
O000067,2024-01-05,C00971,Customer 00971,Male,37,Berhampur,Odisha,East,P023,Novel Collection,Books,Books,1,799,0.2,639.2,UPI,New,Organic
O000067,2024-01-05,C00971,Customer 00971,Male,37,Berhampur,Odisha,East,P003,Bluetooth Speaker,Electronics,Audio,1,4499,0.15,3824.15,UPI,New,Organic
O000067,2024-01-05,C00971,Customer 00971,Male,37,Berhampur,Odisha,East,P010,Backpack 25L,Fashion,Bags,1,1599,0.0,1599.0,UPI,New,Organic
O000068,2025-05-11,C01552,Customer 01552,Male,41,Kolkata,West Bengal,East,P010,Backpack 25L,Fashion,Bags,2,1599,0.05,3038.1,Wallet,Returning,Organic
O000069,2024-12-23,C02444,Customer 02444,Male,32,Kolkata,West Bengal,East,P019,Yoga Mat,Sports & Fitness,Fitness,1,1199,0.1,1079.1,Credit Card,New,Organic
O000069,2024-12-23,C02444,Customer 02444,Male,32,Kolkata,West Bengal,East,P006,Gaming Mouse,Electronics,Computer Accessories,2,1799,0.2,2878.4,Credit Card,New,Organic
O000069,2024-12-23,C02444,Customer 02444,Male,32,Kolkata,West Bengal,East,P020,Dumbbell Set,Sports & Fitness,Fitness,2,2499,0.1,4498.2,Credit Card,New,Organic
O000070,2024-01-28,C00155,Customer 00155,Male,27,Vijayawada,Andhra Pradesh,South,P022,Exam Preparation Set,Books,Education,1,1299,0.0,1299.0,Cash on Delivery,New,Google
O000071,2024-09-26,C02309,Customer 02309,Male,21,Vijayawada,Andhra Pradesh,South,P006,Gaming Mouse,Electronics,Computer Accessories,1,1799,0.2,1439.2,UPI,New,Instagram
O000071,2024-09-26,C02309,Customer 02309,Male,21,Vijayawada,Andhra Pradesh,South,P009,Running Shoes,Fashion,Footwear,1,2999,0.05,2849.05,UPI,New,Instagram
O000072,2024-02-09,C03858,Customer 03858,Female,31,Jalandhar,Punjab,North,P004,Power Bank 20000mAh,Electronics,Accessories,1,1999,0.05,1899.05,Credit Card,Returning,Facebook
O000073,2025-12-23,C00770,Customer 00770,Female,49,Delhi,Delhi,North,P015,LED Study Lamp,Home & Kitchen,Lighting,1,999,0.05,949.05,Net Banking,Returning,Facebook
O000074,2025-01-28,C03194,Customer 03194,Female,47,Kozhikode,Kerala,South,P015,LED Study Lamp,Home & Kitchen,Lighting,1,999,0.15,849.15,Cash on Delivery,New,Google
O000074,2025-01-28,C03194,Customer 03194,Female,47,Kozhikode,Kerala,South,P009,Running Shoes,Fashion,Footwear,1,2999,0.05,2849.05,Cash on Delivery,New,Google
O000075,2024-02-12,C02275,Customer 02275,Female,39,Ahmedabad,Gujarat,West,P001,Smartphone X1,Electronics,Mobile Phones,1,23500,0.0,23500.0,Cash on Delivery,New,Organic
O000076,2025-06-19,C02967,Customer 02967,Female,51,Bengaluru,Karnataka,South,P021,Cricket Bat,Sports & Fitness,Sports,1,3999,0.1,3599.1,Debit Card,Returning,Instagram
O000076,2025-06-19,C02967,Customer 02967,Female,51,Bengaluru,Karnataka,South,P004,Power Bank 20000mAh,Electronics,Accessories,2,1999,0.0,3998.0,Debit Card,Returning,Instagram
O000076,2025-06-19,C02967,Customer 02967,Female,51,Bengaluru,Karnataka,South,P015,LED Study Lamp,Home & Kitchen,Lighting,1,999,0.2,799.2,Debit Card,Returning,Instagram
O000077,2025-08-11,C02302,Customer 02302,Male,18,Bhopal,Madhya Pradesh,Central,P003,Bluetooth Speaker,Electronics,Audio,1,4499,0.1,4049.1,Credit Card,Returning,Google
O000077,2025-08-11,C02302,Customer 02302,Male,18,Bhopal,Madhya Pradesh,Central,P006,Gaming Mouse,Electronics,Computer Accessories,1,1799,0.15,1529.15,Credit Card,Returning,Google
O000078,2024-07-15,C01561,Customer 01561,Male,40,Jodhpur,Rajasthan,West,P016,Face Wash,Beauty & Personal Care,Skincare,2,399,0.15,678.3,Cash on Delivery,Returning,Organic
O000078,2024-07-15,C01561,Customer 01561,Male,40,Jodhpur,Rajasthan,West,P020,Dumbbell Set,Sports & Fitness,Fitness,2,2499,0.0,4998.0,Cash on Delivery,Returning,Organic
O000079,2025-12-08,C03703,Customer 03703,Male,24,Ahmedabad,Gujarat,West,P005,Laptop Air 14,Electronics,Laptops,1,49900,0.0,49900.0,Cash on Delivery,Returning,Affiliate
O000080,2024-08-04,C03738,Customer 03738,Female,19,Kochi,Kerala,South,P006,Gaming Mouse,Electronics,Computer Accessories,1,1799,0.05,1709.05,Debit Card,New,Referral
O000080,2024-08-04,C03738,Customer 03738,Female,19,Kochi,Kerala,South,P015,LED Study Lamp,Home & Kitchen,Lighting,1,999,0.0,999.0,Debit Card,New,Referral
O000081,2024-09-06,C04744,Customer 04744,Male,19,Ahmedabad,Gujarat,West,P010,Backpack 25L,Fashion,Bags,1,1599,0.15,1359.15,Debit Card,Returning,Organic
O000081,2024-09-06,C04744,Customer 04744,Male,19,Ahmedabad,Gujarat,West,P012,Non-stick Cookware Set,Home & Kitchen,Cookware,1,2999,0.2,2399.2,Debit Card,Returning,Organic
O000082,2024-01-27,C03580,Customer 03580,Female,34,Indore,Madhya Pradesh,Central,P013,Mixer Grinder,Home & Kitchen,Appliances,1,4499,0.1,4049.1,Net Banking,New,Organic
O000083,2024-06-04,C04915,Customer 04915,Male,30,Warangal,Telangana,South,P009,Running Shoes,Fashion,Footwear,1,2999,0.1,2699.1,Debit Card,New,Email
O000083,2024-06-04,C04915,Customer 04915,Male,30,Warangal,Telangana,South,P021,Cricket Bat,Sports & Fitness,Sports,1,3999,0.05,3799.05,Debit Card,New,Email
O000083,2024-06-04,C04915,Customer 04915,Male,30,Warangal,Telangana,South,P020,Dumbbell Set,Sports & Fitness,Fitness,1,2499,0.0,2499.0,Debit Card,New,Email
O000084,2025-03-10,C04287,Customer 04287,Male,36,Bengaluru,Karnataka,South,P012,Non-stick Cookware Set,Home & Kitchen,Cookware,1,2999,0.1,2699.1,Net Banking,Returning,Instagram
O000084,2025-03-10,C04287,Customer 04287,Male,36,Bengaluru,Karnataka,South,P018,Trimmer,Beauty & Personal Care,Grooming,2,1599,0.05,3038.1,Net Banking,Returning,Instagram
O000084,2025-03-10,C04287,Customer 04287,Male,36,Bengaluru,Karnataka,South,P015,LED Study Lamp,Home & Kitchen,Lighting,4,999,0.0,3996.0,Net Banking,Returning,Instagram
O000085,2025-09-07,C00341,Customer 00341,Female,38,Ludhiana,Punjab,North,P006,Gaming Mouse,Electronics,Computer Accessories,1,1799,0.0,1799.0,Cash on Delivery,New,Email
O000085,2025-09-07,C00341,Customer 00341,Female,38,Ludhiana,Punjab,North,P007,Cotton T-Shirt,Fashion,Apparel,1,899,0.05,854.05,Cash on Delivery,New,Email
O000086,2024-07-25,C01358,Customer 01358,Female,35,Chennai,Tamil Nadu,South,P009,Running Shoes,Fashion,Footwear,1,2999,0.15,2549.15,Cash on Delivery,Returning,Google
O000086,2024-07-25,C01358,Customer 01358,Female,35,Chennai,Tamil Nadu,South,P014,Air Fryer,Home & Kitchen,Appliances,1,5999,0.0,5999.0,Cash on Delivery,Returning,Google
O000087,2025-09-15,C04720,Customer 04720,Male,35,Gaya,Bihar,East,P017,Sunscreen SPF50,Beauty & Personal Care,Skincare,2,699,0.0,1398.0,UPI,Returning,Referral
