cohort_month,months_since_first_purchase,active_customers,cohort_size,retention_percentage
2024-05,5,23,269,8.55
2024-05,6,30,269,11.15
2024-05,7,25,269,9.29
2024-05,8,22,269,8.18
2024-05,9,20,269,7.43
2024-05,10,22,269,8.18
2024-05,11,28,269,10.41
2024-05,12,29,269,10.78
2024-05,13,29,269,10.78
2024-05,14,24,269,8.92
2024-05,15,29,269,10.78
2024-05,16,40,269,14.87
2024-05,17,19,269,7.06
2024-05,18,31,269,11.52
2024-05,19,1,269,0.37
2024-06,0,223,223,100.00
2024-06,1,14,223,6.28
2024-06,2,14,223,6.28
2024-06,3,18,223,8.07
2024-06,4,16,223,7.17
2024-06,5,20,223,8.97
2024-06,6,23,223,10.31
2024-06,7,16,223,7.17
2024-06,8,20,223,8.97
2024-06,9,18,223,8.07
2024-06,10,20,223,8.97
2024-06,11,21,223,9.42
2024-06,12,25,223,11.21
2024-06,13,20,223,8.97
2024-06,14,20,223,8.97
2024-06,15,22,223,9.87
2024-06,16,15,223,6.73
2024-06,17,14,223,6.28
2024-06,18,2,223,0.90
2024-07,0,216,216,100.00
2024-07,1,23,216,10.65
2024-07,2,29,216,13.43
2024-07,3,17,216,7.87
2024-07,4,19,216,8.80
2024-07,5,15,216,6.94
2024-07,6,22,216,10.19
2024-07,7,24,216,11.11
2024-07,8,15,216,6.94
2024-07,9,17,216,7.87
2024-07,10,19,216,8.80
2024-07,11,16,216,7.41
2024-07,12,17,216,7.87
2024-07,13,12,216,5.56
2024-07,14,24,216,11.11
2024-07,15,15,216,6.94
2024-07,16,28,216,12.96
2024-08,0,180,180,100.00
2024-08,1,15,180,8.33
2024-08,2,17,180,9.44
2024-08,3,14,180,7.78
2024-08,4,13,180,7.22
2024-08,5,19,180,10.56
2024-08,6,15,180,8.33
2024-08,7,9,180,5.00
2024-08,8,18,180,10.00
2024-08,9,13,180,7.22
2024-08,10,15,180,8.33
2024-08,11,14,180,7.78
2024-08,12,19,180,10.56
2024-08,13,16,180,8.89
2024-08,14,22,180,12.22
2024-08,15,24,180,13.33
2024-08,16,1,180,0.56
2024-09,0,173,173,100.00
2024-09,1,18,173,10.40
2024-09,2,17,173,9.83
2024-09,3,14,173,8.09
2024-09,4,11,173,6.36
2024-09,5,10,173,5.78
2024-09,6,17,173,9.83
2024-09,7,18,173,10.40
2024-09,8,17,173,9.83
2024-09,9,13,173,7.51
2024-09,10,19,173,10.98
2024-09,11,17,173,9.83
2024-09,12,14,173,8.09
2024-09,13,15,173,8.67
2024-09,14,14,173,8.09
2024-09,15,1,173,0.58
2024-10,0,146,146,100.00
2024-10,1,9,146,6.16
2024-10,2,9,146,6.16
2024-10,3,11,146,7.53
2024-10,4,12,146,8.22
2024-10,5,13,146,8.90
2024-10,6,15,146,10.27
2024-10,7,13,146,8.90
2024-10,8,8,146,5.48
2024-10,9,12,146,8.22
2024-10,10,10,146,6.85
2024-10,11,10,146,6.85
2024-10,12,7,146,4.79
2024-10,13,13,146,8.90
2024-11,0,145,145,100.00
2024-11,1,14,145,9.66
2024-11,2,9,145,6.21
2024-11,3,18,145,12.41
2024-11,4,10,145,6.90
2024-11,5,15,145,10.34
2024-11,6,17,145,11.72
2024-11,7,13,145,8.97
2024-11,8,13,145,8.97
2024-11,9,11,145,7.59
2024-11,10,12,145,8.28
2024-11,11,10,145,6.90
2024-11,12,15,145,10.34
2024-12,0,129,129,100.00
2024-12,1,15,129,11.63
2024-12,2,16,129,12.40
2024-12,3,9,129,6.98
2024-12,4,6,129,4.65
2024-12,5,13,129,10.08
2024-12,6,11,129,8.53
2024-12,7,17,129,13.18
2024-12,8,11,129,8.53
2024-12,9,9,129,6.98
2024-12,10,11,129,8.53
2024-12,11,10,129,7.75
2024-12,12,1,129,0.78
2025-01,0,116,116,100.00
2025-01,1,14,116,12.07
2025-01,2,9,116,7.76
2025-01,3,12,116,10.34
2025-01,4,13,116,11.21
2025-01,5,5,116,4.31
2025-01,6,7,116,6.03
2025-01,7,9,116,7.76
2025-01,8,12,116,10.34
2025-01,9,7,116,6.03
2025-01,10,14,116,12.07
2025-02,0,104,104,100.00
2025-02,1,7,104,6.73
2025-02,2,5,104,4.81
2025-02,3,7,104,6.73
2025-02,4,12,104,11.54
2025-02,5,10,104,9.62
2025-02,6,11,104,10.58
2025-02,7,10,104,9.62
2025-02,8,8,104,7.69
2025-02,9,7,104,6.73
2025-02,10,1,104,0.96
2025-03,0,107,107,100.00
2025-03,1,10,107,9.35
2025-03,2,11,107,10.28
2025-03,3,4,107,3.74
2025-03,4,9,107,8.41
2025-03,5,8,107,7.48
2025-03,6,10,107,9.35
2025-03,7,13,107,12.15
2025-03,8,10,107,9.35
2025-04,0,90,90,100.00
2025-04,1,1,90,1.11
2025-04,2,6,90,6.67
2025-04,3,7,90,7.78
2025-04,4,6,90,6.67
2025-04,5,3,90,3.33
2025-04,6,7,90,7.78
2025-04,7,5,90,5.56
2025-05,0,90,90,100.00
2025-05,1,2,90,2.22
2025-05,2,9,90,10.00
2025-05,3,6,90,6.67
2025-05,4,6,90,6.67
2025-05,5,8,90,8.89
2025-05,6,8,90,8.89
2025-06,0,87,87,100.00
2025-06,1,8,87,9.20
2025-06,2,11,87,12.64
2025-06,3,9,87,10.34
2025-06,4,7,87,8.05
2025-06,5,7,87,8.05
2025-07,0,63,63,100.00
2025-07,1,4,63,6.35
2025-07,2,5,63,7.94
2025-07,3,3,63,4.76
2025-07,4,4,63,6.35
2025-08,0,80,80,100.00
2025-08,1,6,80,7.50
2025-08,2,9,80,11.25
2025-08,3,7,80,8.75
2025-09,0,51,51,100.00
2025-09,1,4,51,7.84
2025-09,2,7,51,13.73
2025-10,0,53,53,100.00
2025-10,1,6,53,11.32
2025-11,0,49,49,100.00
2025-12,0,71,71,100.00
