Customer_ID,cohort_month,order_month,months_since_first_purchase
C00141,2025-01,2025-10,8
C00142,2024-07,2024-07,0
C00142,2024-07,2025-05,9
C00142,2024-07,2025-07,11
C00143,2024-12,2024-12,0
C00143,2024-12,2025-03,2
C00144,2024-08,2024-08,0
C00144,2024-08,2025-01,4
C00145,2025-12,2025-12,0
C00146,2024-03,2024-03,0
C00146,2024-03,2024-04,0
C00146,2024-03,2024-05,1
C00146,2024-03,2024-06,2
C00146,2024-03,2025-07,15
C00146,2024-03,2025-11,19
C00147,2024-02,2024-02,0
C00147,2024-02,2024-04,1
C00147,2024-02,2025-01,10
C00148,2024-03,2024-03,0
C00148,2024-03,2025-06,14
C00149,2024-03,2024-03,0
C00149,2024-03,2025-06,14
C00150,2024-07,2024-07,0
C00150,2024-07,2024-10,2
C00151,2024-02,2024-02,0
C00151,2024-02,2024-04,1
C00151,2024-02,2024-10,7
C00151,2024-02,2025-06,15
C00151,2024-02,2025-09,18
C00152,2024-04,2024-04,0
C00152,2024-04,2024-05,0
C00152,2024-04,2025-04,11
C00152,2024-04,2025-12,19
C00154,2024-03,2024-03,0
C00154,2024-03,2024-04,0
C00154,2024-03,2024-06,2
C00154,2024-03,2024-10,6
C00154,2024-03,2025-05,13
C00155,2024-01,2024-01,0
C00155,2024-01,2024-04,2
C00155,2024-01,2024-08,6
C00156,2024-10,2024-10,0
C00157,2025-03,2025-03,0
C00157,2025-03,2025-06,2
C00158,2024-11,2024-11,0
C00158,2024-11,2025-06,6
C00159,2024-03,2024-03,0
C00160,2024-01,2024-01,0
C00160,2024-01,2024-08,6
C00160,2024-01,2025-07,17
C00160,2024-01,2025-11,21
C00162,2024-02,2024-02,0
C00163,2025-03,2025-03,0
C00164,2025-02,2025-02,0
C00164,2025-02,2025-08,5
C00165,2024-04,2024-04,0
C00166,2024-08,2024-08,0
C00167,2025-05,2025-05,0
C00167,2025-05,2025-12,6
C00168,2024-04,2024-04,0
C00168,2024-04,2024-10,5
C00168,2024-04,2025-08,15
C00169,2024-11,2024-11,0
C00169,2024-11,2025-06,6
C00169,2024-11,2025-08,8
C00169,2024-11,2025-11,11
C00170,2024-02,2024-02,0
C00170,2024-02,2024-03,0
C00170,2024-02,2024-04,1
C00170,2024-02,2024-06,3
C00170,2024-02,2025-07,16
C00172,2024-03,2024-03,0
C00172,2024-03,2024-06,2
C00172,2024-03,2024-09,5
C00172,2024-03,2025-07,15
C00172,2024-03,2025-10,18
C00172,2024-03,2025-11,19
C00173,2024-01,2024-01,0
C00173,2024-01,2024-12,10
C00174,2025-10,2025-10,0
C00175,2024-02,2024-02,0
C00175,2024-02,2025-04,13
C00176,2024-02,2024-02,0
C00176,2024-02,2024-08,5
C00177,2025-08,2025-08,0
C00179,2024-07,2024-07,0
C00179,2024-07,2025-11,15
C00180,2024-04,2024-04,0
C00180,2024-04,2025-03,10
C00180,2024-04,2025-12,19
C00182,2024-01,2024-01,0
C00183,2024-03,2024-03,0
C00183,2024-03,2024-11,7
C00183,2024-03,2025-01,9
C00183,2024-03,2025-02,10
C00183,2024-03,2025-06,14
C00183,2024-03,2025-07,15
C00183,2024-03,2025-09,17
C00184,2025-01,2025-01,0
C00184,2025-01,2025-12,10
C00186,2024-06,2024-06,0
C00187,2024-04,2024-04,0
C00187,2024-04,2024-06,1
C00187,2024-04,2025-02,9
C00187,2024-04,2025-04,11
C00187,2024-04,2025-12,19
C00188,2024-01,2024-01,0
C00188,2024-01,2025-02,12
C00188,2024-01,2025-04,14
C00189,2024-11,2024-11,0
C00190,2024-02,2024-02,0
C00191,2024-05,2024-05,0
C00191,2024-05,2024-06,0
C00191,2024-05,2025-04,10
C00192,2024-01,2024-01,0
C00192,2024-01,2024-09,7
C00192,2024-01,2024-10,8
C00192,2024-01,2025-06,16
C00192,2024-01,2025-11,21
C00193,2025-09,2025-09,0
C00194,2024-07,2024-07,0
C00194,2024-07,2024-11,3
C00194,2024-07,2025-01,5
C00194,2024-07,2025-07,11
C00195,2025-04,2025-04,0
C00196,2024-08,2024-08,0
C00196,2024-08,2024-12,3
C00196,2024-08,2025-05,8
C00197,2025-11,2025-11,0
C00198,2024-09,2024-09,0
C00198,2024-09,2024-11,1
C00198,2024-09,2025-12,14
C00200,2025-05,2025-05,0
C00200,2025-05,2025-08,2
C00201,2024-07,2024-07,0
C00201,2024-07,2025-02,6
C00201,2024-07,2025-03,7
C00201,2024-07,2025-04,8
C00201,2024-07,2025-08,12
C00202,2024-12,2024-12,0
C00203,2024-01,2024-01,0
C00203,2024-01,2024-06,4
C00203,2024-01,2025-03,13
C00203,2024-01,2025-07,17
C00205,2024-04,2024-04,0
C00205,2024-04,2025-03,10
C00207,2024-01,2024-01,0
C00207,2024-01,2024-09,7
C00207,2024-01,2025-05,15
C00207,2024-01,2025-07,17
C00207,2024-01,2025-10,20
C00208,2024-05,2024-05,0
C00208,2024-05,2024-12,6
C00208,2024-05,2025-09,15
C00210,2025-11,2025-11,0
C00212,2024-04,2024-04,0
C00212,2024-04,2024-12,7
C00212,2024-04,2025-01,8
C00212,2024-04,2025-05,12
C00213,2024-03,2024-03,0
C00213,2024-03,2025-05,13
C00213,2024-03,2025-10,18
C00214,2024-07,2024-07,0
C00214,2024-07,2025-06,10
C00215,2024-08,2024-08,0
C00215,2024-08,2025-10,13
C00215,2024-08,2025-11,14
C00215,2024-08,2025-12,15
C00217,2024-05,2024-05,0
C00217,2024-05,2024-06,0
C00217,2024-05,2024-09,3
C00219,2024-01,2024-01,0
C00219,2024-01,2024-03,1
C00220,2024-02,2024-02,0
C00220,2024-02,2025-03,12
C00220,2024-02,2025-07,16
C00222,2025-03,2025-03,0
C00223,2025-03,2025-03,0
C00224,2024-02,2024-02,0
C00224,2024-02,2025-03,12
C00225,2024-11,2024-11,0
C00225,2024-11,2025-01,1
C00225,2024-11,2025-08,8
C00225,2024-11,2025-12,12
C00227,2024-11,2024-11,0
C00227,2024-11,2025-03,3
C00227,2024-11,2025-05,5
C00228,2024-01,2024-01,0
C00228,2024-01,2024-07,5
C00228,2024-01,2025-11,21
C00229,2024-02,2024-02,0
C00229,2024-02,2024-03,0
C00229,2024-02,2024-10,7
C00230,2024-02,2024-02,0
C00230,2024-02,2024-06,3
C00231,2024-05,2024-05,0
C00231,2024-05,2024-12,6
C00232,2024-07,2024-07,0
C00234,2024-08,2024-08,0
C00235,2025-04,2025-04,0
C00236,2024-12,2024-12,0
C00237,2024-07,2024-07,0
C00239,2025-06,2025-06,0
C00239,2025-06,2025-10,3
C00240,2024-08,2024-08,0
C00240,2024-08,2024-10,1
C00242,2025-01,2025-01,0
C00244,2025-08,2025-08,0
C00244,2025-08,2025-09,0
C00245,2024-02,2024-02,0
C00245,2024-02,2024-04,1
C00245,2024-02,2024-09,6
C00245,2024-02,2024-10,7
C00245,2024-02,2024-11,8
C00245,2024-02,2025-08,17
C00245,2024-02,2025-09,18
C00245,2024-02,2025-11,20
C00247,2025-11,2025-11,0
C00248,2024-09,2024-09,0
C00249,2024-06,2024-06,0
C00249,2024-06,2025-08,13
C00249,2024-06,2025-11,16
C00251,2025-03,2025-03,0
C00252,2024-07,2024-07,0
C00252,2024-07,2025-03,7
C00253,2024-02,2024-02,0
C00253,2024-02,2024-09,6
C00253,2024-02,2025-09,18
C00253,2024-02,2025-11,20
C00254,2024-07,2024-07,0
C00256,2024-04,2024-04,0
C00256,2024-04,2024-06,1
C00256,2024-04,2024-09,4
C00256,2024-04,2024-10,5
C00256,2024-04,2025-09,16
C00258,2024-04,2024-04,0
C00260,2025-04,2025-04,0
C00261,2024-08,2024-08,0
C00261,2024-08,2025-10,13
C00261,2024-08,2025-11,14
C00262,2024-03,2024-03,0
C00262,2024-03,2024-09,5
C00262,2024-03,2024-11,7
C00262,2024-03,2024-12,8
C00263,2024-03,2024-03,0
C00263,2024-03,2025-07,15
C00265,2024-01,2024-01,0
C00266,2024-11,2024-11,0
C00266,2024-11,2025-05,5
C00267,2024-11,2024-11,0
C00269,2024-03,2024-03,0
C00269,2024-03,2024-05,1
C00269,2024-03,2024-07,3
C00269,2024-03,2024-09,5
C00269,2024-03,2024-10,6
C00269,2024-03,2025-07,15
C00269,2024-03,2025-11,19
C00270,2025-06,2025-06,0
C00271,2025-07,2025-07,0
C00273,2025-07,2025-07,0
C00274,2024-04,2024-04,0
C00275,2024-07,2024-07,0
C00275,2024-07,2024-12,4
C00275,2024-07,2025-01,5
C00275,2024-07,2025-10,14
C00276,2025-03,2025-03,0
C00278,2024-01,2024-01,0
C00278,2024-01,2024-02,0
C00278,2024-01,2024-11,9
C00278,2024-01,2025-05,15
C00279,2025-05,2025-05,0
C00280,2024-03,2024-03,0
C00280,2024-03,2025-03,11
C00280,2024-03,2025-04,12
C00281,2024-11,2024-11,0
C00281,2024-11,2025-04,4
C00282,2024-11,2024-11,0
C00282,2024-11,2025-04,4
C00283,2025-05,2025-05,0
C00284,2024-10,2024-10,0
C00284,2024-10,2025-01,2
C00285,2025-03,2025-03,0
C00285,2025-03,2025-04,0
C00285,2025-03,2025-12,8
C00286,2024-12,2024-12,0
C00288,2024-06,2024-06,0
C00288,2024-06,2024-10,3
C00288,2024-06,2025-07,12
C00288,2024-06,2025-08,13
C00289,2024-01,2024-01,0
C00289,2024-01,2024-04,2
C00291,2024-10,2024-10,0
C00292,2024-09,2024-09,0
C00292,2024-09,2024-12,2
C00293,2024-06,2024-06,0
C00295,2024-09,2024-09,0
C00295,2024-09,2025-01,4
C00295,2024-09,2025-06,9
C00295,2024-09,2025-09,12
C00296,2025-07,2025-07,0
C00297,2025-02,2025-02,0
C00298,2024-11,2024-11,0
C00299,2024-05,2024-05,0
C00300,2025-05,2025-05,0
C00300,2025-05,2025-09,3
C00300,2025-05,2025-11,5
C00301,2024-02,2024-02,0
C00302,2024-02,2024-02,0
C00302,2024-02,2024-05,2
C00302,2024-02,2025-08,17
C00303,2024-12,2024-12,0
C00304,2024-04,2024-04,0
C00304,2024-04,2024-07,2
C00304,2024-04,2025-02,9
C00304,2024-04,2025-03,10
C00305,2025-10,2025-10,0
C00305,2025-10,2025-12,1
C00309,2024-10,2024-10,0
C00309,2024-10,2025-08,9
C00309,2024-10,2025-11,12
C00310,2024-02,2024-02,0
C00310,2024-02,2024-04,1
C00310,2024-02,2024-08,5
C00310,2024-02,2025-04,13
C00310,2024-02,2025-06,15
C00311,2024-07,2024-07,0
C00311,2024-07,2024-08,0
C00311,2024-07,2025-02,6
C00312,2024-01,2024-01,0
C00312,2024-01,2024-10,8
C00313,2024-06,2024-06,0
C00315,2024-05,2024-05,0
C00317,2025-01,2025-01,0
C00318,2024-02,2024-02,0
C00318,2024-02,2025-09,18
C00318,2024-02,2025-12,21
C00319,2024-01,2024-01,0
C00320,2024-04,2024-04,0
C00320,2024-04,2025-06,13
C00320,2024-04,2025-07,14
C00320,2024-04,2025-08,15
C00320,2024-04,2025-09,16
C00321,2024-07,2024-07,0
C00323,2024-04,2024-04,0
C00323,2024-04,2024-10,5
C00323,2024-04,2025-01,8
C00323,2024-04,2025-02,9
C00323,2024-04,2025-12,19
C00324,2024-04,2024-04,0
C00324,2024-04,2024-05,0
C00324,2024-04,2024-08,3
C00324,2024-04,2025-01,8
C00325,2024-11,2024-11,0
C00326,2024-09,2024-09,0
C00326,2024-09,2024-12,2
C00326,2024-09,2025-03,5
C00326,2024-09,2025-10,12
C00327,2025-09,2025-09,0
C00328,2024-12,2024-12,0
C00328,2024-12,2025-09,8
C00328,2024-12,2025-11,10
C00329,2024-11,2024-11,0
C00329,2024-11,2025-04,4
C00330,2024-02,2024-02,0
C00330,2024-02,2025-05,14
C00330,2024-02,2025-06,15
C00330,2024-02,2025-12,21
C00331,2025-07,2025-07,0
C00332,2025-02,2025-02,0
C00332,2025-02,2025-07,4
C00334,2024-01,2024-01,0
C00334,2024-01,2025-03,13
C00334,2024-01,2025-06,16
C00334,2024-01,2025-07,17
C00335,2024-01,2024-01,0
C00336,2025-09,2025-09,0
C00337,2025-02,2025-02,0
C00337,2025-02,2025-10,7
C00338,2024-10,2024-10,0
C00338,2024-10,2025-02,3
C00338,2024-10,2025-04,5
C00338,2024-10,2025-05,6
C00339,2024-01,2024-01,0
C00339,2024-01,2025-06,16
C00339,2024-01,2025-07,17
C00340,2025-01,2025-01,0
C00340,2025-01,2025-09,7
C00341,2025-09,2025-09,0
C00342,2025-07,2025-07,0
C00343,2024-03,2024-03,0
C00343,2024-03,2024-04,0
C00343,2024-03,2025-03,11
C00343,2024-03,2025-05,13
C00343,2024-03,2025-07,15
C00343,2024-03,2025-08,16
C00343,2024-03,2025-09,17
C00344,2024-10,2024-10,0
C00344,2024-10,2025-09,10
C00345,2025-06,2025-06,0
C00345,2025-06,2025-07,0
C00345,2025-06,2025-09,2
C00346,2025-12,2025-12,0
C00348,2025-04,2025-04,0
C00350,2024-03,2024-03,0
C00350,2024-03,2024-05,1
C00350,2024-03,2024-11,7
C00350,2024-03,2025-11,19
C00351,2025-03,2025-03,0
C00351,2025-03,2025-06,2
C00351,2025-03,2025-11,7
C00352,2024-02,2024-02,0
C00352,2024-02,2024-10,7
C00352,2024-02,2025-08,17
C00353,2024-02,2024-02,0
C00353,2024-02,2024-07,4
C00353,2024-02,2024-08,5
C00353,2024-02,2025-04,13
C00353,2024-02,2025-09,18
C00354,2024-08,2024-08,0
C00354,2024-08,2025-12,15
C00357,2024-07,2024-07,0
C00358,2024-03,2024-03,0
C00358,2024-03,2025-01,9
C00358,2024-03,2025-03,11
C00359,2024-05,2024-05,0
C00360,2024-11,2024-11,0
C00360,2024-11,2025-12,12
C00361,2024-11,2024-11,0
C00361,2024-11,2025-05,5
C00361,2024-11,2025-07,7
C00361,2024-11,2025-09,9
C00364,2024-05,2024-05,0
C00365,2025-01,2025-01,0
C00365,2025-01,2025-07,6
C00366,2024-02,2024-02,0
C00366,2024-02,2024-03,0
C00366,2024-02,2024-05,2
C00366,2024-02,2025-03,12
C00366,2024-02,2025-05,14
C00366,2024-02,2025-06,15
C00366,2024-02,2025-07,16
C00366,2024-02,2025-12,21
C00367,2025-05,2025-05,0
C00368,2024-09,2024-09,0
C00368,2024-09,2025-01,3
C00369,2024-03,2024-03,0
C00369,2024-03,2024-05,1
C00369,2024-03,2024-06,2
C00369,2024-03,2025-07,15
C00369,2024-03,2025-09,17
C00369,2024-03,2025-12,20
C00373,2024-07,2024-07,0
C00375,2024-06,2024-06,0
C00375,2024-06,2024-12,5
C00375,2024-06,2025-01,6
C00375,2024-06,2025-07,12
C00375,2024-06,2025-09,14
C00376,2024-03,2024-03,0
C00376,2024-03,2024-07,3
C00377,2024-01,2024-01,0
C00377,2024-01,2024-11,9
C00378,2024-08,2024-08,0
C00378,2024-08,2025-09,12
C00378,2024-08,2025-10,13
C00378,2024-08,2025-12,15
C00379,2024-01,2024-01,0
C00379,2024-01,2024-04,2
C00379,2024-01,2024-08,6
C00379,2024-01,2025-04,14
C00379,2024-01,2025-06,16
C00380,2024-10,2024-10,0
C00380,2024-10,2025-04,5
C00380,2024-10,2025-06,7
C00380,2024-10,2025-11,12
C00381,2024-07,2024-07,0
C00381,2024-07,2025-03,7
C00381,2024-07,2025-07,11
C00381,2024-07,2025-10,14
C00382,2024-02,2024-02,0
C00382,2024-02,2025-05,14
C00382,2024-02,2025-08,17
C00382,2024-02,2025-10,19
C00383,2024-04,2024-04,0
C00383,2024-04,2025-09,16
C00384,2024-11,2024-11,0
C00384,2024-11,2025-05,5
C00384,2024-11,2025-11,11
C00385,2024-03,2024-03,0
C00385,2024-03,2024-12,8
C00385,2024-03,2025-05,13
C00385,2024-03,2025-06,14
C00386,2024-01,2024-01,0
C00387,2024-12,2024-12,0
C00387,2024-12,2025-02,1
C00387,2024-12,2025-04,3
C00387,2024-12,2025-07,6
C00387,2024-12,2025-08,7
C00388,2024-02,2024-02,0
C00388,2024-02,2024-09,6
C00388,2024-02,2025-04,13
C00389,2024-09,2024-09,0
C00389,2024-09,2025-11,13
C00391,2024-06,2024-06,0
C00392,2025-01,2025-01,0
C00393,2024-01,2024-01,0
C00393,2024-01,2024-04,2
C00393,2024-01,2024-05,3
C00393,2024-01,2024-08,6
C00393,2024-01,2025-09,19
C00394,2024-08,2024-08,0
C00395,2024-04,2024-04,0
C00395,2024-04,2024-09,4
C00395,2024-04,2024-12,7
C00395,2024-04,2025-01,8
C00395,2024-04,2025-12,19
C00398,2025-08,2025-08,0
C00398,2025-08,2025-10,1
C00399,2024-11,2024-11,0
C00401,2024-03,2024-03,0
C00401,2024-03,2024-06,2
C00401,2024-03,2025-01,9
C00401,2024-03,2025-08,16
C00401,2024-03,2025-12,20
C00403,2024-01,2024-01,0
C00403,2024-01,2024-05,3
C00403,2024-01,2025-03,13
C00403,2024-01,2025-10,20
C00404,2024-09,2024-09,0
C00404,2024-09,2024-11,1
C00404,2024-09,2025-10,12
C00406,2024-01,2024-01,0
C00406,2024-01,2024-06,4
C00406,2024-01,2024-07,5
C00406,2024-01,2024-12,10
C00406,2024-01,2025-04,14
C00406,2024-01,2025-12,22
C00407,2025-08,2025-08,0
C00408,2024-08,2024-08,0
C00409,2024-07,2024-07,0
C00409,2024-07,2025-03,7
C00409,2024-07,2025-06,10
C00409,2024-07,2025-11,15
C00410,2025-05,2025-05,0
C00410,2025-05,2025-11,5
C00411,2024-09,2024-09,0
C00412,2025-10,2025-10,0
C00413,2024-04,2024-04,0
C00413,2024-04,2024-11,7
C00414,2024-04,2024-04,0
C00414,2024-04,2024-05,0
C00414,2024-04,2024-11,6
C00414,2024-04,2025-03,10
C00414,2024-04,2025-04,11
C00414,2024-04,2025-12,19
C00417,2025-08,2025-08,0
C00418,2024-05,2024-05,0
C00418,2024-05,2024-08,2
C00418,2024-05,2025-08,14
C00419,2024-02,2024-02,0
C00419,2024-02,2024-08,5
C00419,2024-02,2025-05,14
C00419,2024-02,2025-11,20
C00420,2024-02,2024-02,0
C00420,2024-02,2024-10,7
C00420,2024-02,2024-12,9
C00420,2024-02,2025-05,14
C00420,2024-02,2025-11,20
C00422,2024-09,2024-09,0
C00423,2024-05,2024-05,0
C00423,2024-05,2025-02,8
C00423,2024-05,2025-09,15
C00423,2024-05,2025-10,16
C00424,2025-02,2025-02,0
C00424,2025-02,2025-03,0
C00425,2024-02,2024-02,0
C00425,2024-02,2024-04,1
C00425,2024-02,2024-05,2
C00425,2024-02,2025-04,13
C00426,2025-07,2025-07,0
C00426,2025-07,2025-09,1
C00427,2024-08,2024-08,0
C00427,2024-08,2025-07,10
C00429,2024-06,2024-06,0
C00431,2024-03,2024-03,0
C00431,2024-03,2024-05,1
C00431,2024-03,2025-04,12
C00431,2024-03,2025-11,19
C00433,2025-03,2025-03,0
C00435,2025-02,2025-02,0
C00435,2025-02,2025-08,5
C00435,2025-02,2025-09,6
C00435,2025-02,2025-10,7
