Customer_ID,first_order_date,cohort_month
C03611,2024-02-23,2024-02
C03889,2024-02-23,2024-02
C01547,2024-02-23,2024-02
C03502,2024-02-23,2024-02
C03652,2024-02-23,2024-02
C00017,2024-02-23,2024-02
C00176,2024-02-23,2024-02
C03426,2024-02-23,2024-02
C04940,2024-02-23,2024-02
C03841,2024-02-24,2024-02
C00567,2024-02-24,2024-02
C00151,2024-02-24,2024-02
C01144,2024-02-24,2024-02
C00019,2024-02-24,2024-02
C03855,2024-02-24,2024-02
C04781,2024-02-24,2024-02
C04997,2024-02-24,2024-02
C03312,2024-02-24,2024-02
C02872,2024-02-25,2024-02
C01114,2024-02-25,2024-02
C00624,2024-02-25,2024-02
C00366,2024-02-25,2024-02
C03512,2024-02-25,2024-02
C00126,2024-02-25,2024-02
C01676,2024-02-25,2024-02
C03427,2024-02-25,2024-02
C03338,2024-02-25,2024-02
C02390,2024-02-25,2024-02
C03428,2024-02-25,2024-02
C04663,2024-02-25,2024-02
C04354,2024-02-26,2024-02
C04075,2024-02-26,2024-02
C00253,2024-02-26,2024-02
C00520,2024-02-26,2024-02
C03284,2024-02-26,2024-02
C04021,2024-02-26,2024-02
C04526,2024-02-26,2024-02
C02860,2024-02-26,2024-02
C03709,2024-02-26,2024-02
C04961,2024-02-26,2024-02
C04806,2024-02-26,2024-02
C00731,2024-02-26,2024-02
C03583,2024-02-26,2024-02
C02718,2024-02-27,2024-02
C01630,2024-02-27,2024-02
C03597,2024-02-27,2024-02
C00826,2024-02-27,2024-02
C00523,2024-02-27,2024-02
C03770,2024-02-27,2024-02
C01981,2024-02-27,2024-02
C04296,2024-02-27,2024-02
C01718,2024-02-27,2024-02
C00122,2024-02-27,2024-02
C03642,2024-02-27,2024-02
C03751,2024-02-27,2024-02
C00833,2024-02-27,2024-02
C00806,2024-02-28,2024-02
C01733,2024-02-28,2024-02
C01894,2024-02-28,2024-02
C02183,2024-02-28,2024-02
C00735,2024-02-28,2024-02
C04229,2024-02-28,2024-02
C04523,2024-02-28,2024-02
C02578,2024-02-28,2024-02
C04289,2024-02-28,2024-02
C01745,2024-02-28,2024-02
C04144,2024-02-28,2024-02
C02772,2024-02-28,2024-02
C00301,2024-02-28,2024-02
C01520,2024-02-29,2024-02
C02700,2024-02-29,2024-02
C03800,2024-02-29,2024-02
C04220,2024-02-29,2024-02
C01792,2024-02-29,2024-02
C00994,2024-02-29,2024-02
C00420,2024-02-29,2024-02
C01461,2024-03-01,2024-03
C01178,2024-03-01,2024-03
C02883,2024-03-01,2024-03
C00713,2024-03-01,2024-03
C03170,2024-03-01,2024-03
C02061,2024-03-01,2024-03
C03054,2024-03-01,2024-03
C04832,2024-03-01,2024-03
C02859,2024-03-01,2024-03
C03105,2024-03-01,2024-03
C02095,2024-03-01,2024-03
C03282,2024-03-02,2024-03
C04193,2024-03-02,2024-03
C04387,2024-03-02,2024-03
C03943,2024-03-02,2024-03
C03663,2024-03-02,2024-03
C02835,2024-03-02,2024-03
C01940,2024-03-02,2024-03
C01616,2024-03-02,2024-03
C01535,2024-03-02,2024-03
C04177,2024-03-02,2024-03
C00632,2024-03-03,2024-03
C03851,2024-03-03,2024-03
C02175,2024-03-03,2024-03
C03476,2024-03-03,2024-03
C04308,2024-03-03,2024-03
C00528,2024-03-03,2024-03
C00972,2024-03-03,2024-03
C03270,2024-03-03,2024-03
C02258,2024-03-03,2024-03
C04590,2024-03-03,2024-03
C00350,2024-03-03,2024-03
C03548,2024-03-03,2024-03
C03815,2024-03-04,2024-03
C00401,2024-03-04,2024-03
C00699,2024-03-04,2024-03
C00343,2024-03-04,2024-03
C03510,2024-03-04,2024-03
C04843,2024-03-04,2024-03
C00621,2024-03-04,2024-03
C04565,2024-03-04,2024-03
C04625,2024-03-04,2024-03
C02686,2024-03-05,2024-03
C03420,2024-03-05,2024-03
C04868,2024-03-05,2024-03
C02512,2024-03-05,2024-03
C00757,2024-03-05,2024-03
C01286,2024-03-05,2024-03
C01774,2024-03-05,2024-03
C02592,2024-03-05,2024-03
C00439,2024-03-05,2024-03
C02695,2024-03-05,2024-03
C00904,2024-03-05,2024-03
C04057,2024-03-05,2024-03
C04614,2024-03-05,2024-03
C01840,2024-03-05,2024-03
C02758,2024-03-05,2024-03
C00625,2024-03-06,2024-03
C02205,2024-03-06,2024-03
C04958,2024-03-06,2024-03
C00823,2024-03-06,2024-03
C01072,2024-03-06,2024-03
C00724,2024-03-06,2024-03
C01994,2024-03-06,2024-03
C00851,2024-03-06,2024-03
C04402,2024-03-06,2024-03
C03977,2024-03-06,2024-03
C03774,2024-03-06,2024-03
C02405,2024-03-06,2024-03
C04544,2024-03-06,2024-03
C00431,2024-03-07,2024-03
C02554,2024-03-07,2024-03
C02943,2024-03-07,2024-03
C03019,2024-03-07,2024-03
C00128,2024-03-07,2024-03
C01537,2024-03-07,2024-03
C02195,2024-03-07,2024-03
C00172,2024-03-08,2024-03
C03206,2024-03-08,2024-03
C00841,2024-03-08,2024-03
C00879,2024-03-08,2024-03
C01944,2024-03-08,2024-03
C02559,2024-03-08,2024-03
C00472,2024-03-08,2024-03
C04331,2024-03-08,2024-03
C00780,2024-03-08,2024-03
C00159,2024-03-08,2024-03
C02233,2024-03-08,2024-03
